INSTRUMENT,SYMBOL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,_c15,EXPIRY_DT,CLOSE_prev,OPEN_INT_prev
FUTSTK,BPCL,0.0,XX,363.3,369.6,362.3,363.25,363.25,2902,19062.07,14805000,338400,03-MAY-2023,,25-05-2023,363.0,14466600
FUTSTK,BRITANNIA,0.0,XX,4515.0,4579.05,4464.0,4558.4,4558.4,3170,28735.05,1589200,121200,03-MAY-2023,,25-05-2023,4527.35,1468000
FUTSTK,BSOFT,0.0,XX,277.35,281.25,275.05,277.15,277.15,922,5118.69,7786000,32000,03-MAY-2023,,25-05-2023,280.0,7754000
FUTSTK,CANBK,0.0,XX,319.25,321.85,317.55,321.1,321.1,3114,26950.41,38007900,-1163700,03-MAY-2023,,25-05-2023,321.5,39171600
FUTSTK,CANFINHOME,0.0,XX,626.4,643.45,626.4,637.15,637.15,964,5987.74,3715725,-6825,03-MAY-2023,,25-05-2023,630.7,3722550
FUTSTK,CHAMBLFERT,0.0,XX,288.9,297.4,287.5,295.45,295.45,3039,13403.58,5809500,465000,03-MAY-2023,,25-05-2023,289.8,5344500
FUTSTK,CHOLAFIN,0.0,XX,877.55,889.45,873.05,887.95,887.95,1982,21925.83,10722500,563750,03-MAY-2023,,25-05-2023,875.95,10158750
FUTSTK,CIPLA,0.0,XX,926.0,928.45,920.1,923.85,923.85,3153,18935.06,14172600,-351650,03-MAY-2023,,25-05-2023,922.0,14524250
FUTSTK,COALINDIA,0.0,XX,236.6,239.9,236.2,238.05,238.05,1649,16510.14,38152800,-1083600,03-MAY-2023,,25-05-2023,237.65,39236400
FUTSTK,COFORGE,0.0,XX,4103.7,4146.6,4065.0,4105.1,4105.1,2568,15806.88,907650,-3450,03-MAY-2023,,25-05-2023,4139.85,911100
FUTSTK,COLPAL,0.0,XX,1558.0,1578.5,1558.0,1570.45,1570.45,980,5382.19,2008650,-20650,03-MAY-2023,,25-05-2023,1562.65,2029300
