INSTRUMENT,SYMBOL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,_c15,EXPIRY_DT,CLOSE_prev,OPEN_INT_prev
FUTSTK,INDHOTEL,0.0,XX,349.0,364.5,347.95,357.3,357.3,7379,52861.7,24462000,-182000,03-MAY-2023,,25-05-2023,349.0,24644000
FUTSTK,INDIACEM,0.0,XX,186.9,189.9,185.95,188.05,188.05,1139,6215.81,17330400,-17400,03-MAY-2023,,25-05-2023,187.75,17347800
FUTSTK,INDIAMART,0.0,XX,5691.75,5734.95,5590.95,5722.9,5722.9,1971,16796.92,269250,-23850,03-MAY-2023,,25-05-2023,5631.95,293100
FUTSTK,INDIGO,0.0,XX,2164.7,2244.0,2155.3,2178.3,2178.3,16758,110320.65,3478500,185400,03-MAY-2023,,25-05-2023,2082.75,3293100
FUTSTK,INDUSINDBK,0.0,XX,1163.75,1165.15,1144.2,1150.65,1150.65,6045,31349.76,21579300,-148500,03-MAY-2023,,25-05-2023,1157.9,21727800
FUTSTK,INDUSTOWER,0.0,XX,155.25,155.55,150.7,151.45,151.45,4076,17366.87,25370800,1486800,03-MAY-2023,,25-05-2023,156.3,23884000
FUTSTK,INFY,0.0,XX,1271.9,1276.85,1268.1,1273.5,1273.5,15914,81010.58,38991600,-1744000,03-MAY-2023,,25-05-2023,1282.15,40735600
FUTSTK,INTELLECT,0.0,XX,450.1,453.1,445.55,450.15,450.15,480,2155.72,4373000,-7000,03-MAY-2023,,25-05-2023,451.75,4380000
FUTSTK,IOC,0.0,XX,82.9,84.0,82.7,83.1,83.1,1900,15426.38,74148750,214500,03-MAY-2023,,25-05-2023,82.6,73934250
FUTSTK,IPCALAB,0.0,XX,711.1,716.8,705.75,712.7,712.7,771,3578.39,3477500,-77350,03-MAY-2023,,25-05-2023,712.85,3554850
FUTSTK,IRCTC,0.0,XX,627.85,636.7,625.65,631.75,631.75,2806,15520.16,13075125,78750,03-MAY-2023,,25-05-2023,630.35,12996375
FUTSTK,ITC,0.0,XX,422.0,427.2,420.65,426.3,426.3,5553,37817.26,51942400,220800,03-MAY-2023,,25-05-2023,422.85,51721600
FUTSTK,JINDALSTEL,0.0,XX,590.85,597.55,582.45,590.8,590.8,2948,21668.42,17522500,-192500,03-MAY-2023,,25-05-2023,596.45,17715000
FUTSTK,JKCEMENT,0.0,XX,3005.55,3026.65,2987.0,3008.8,3008.8,438,3295.71,416000,-3500,03-MAY-2023,,25-05-2023,3000.25,419500
FUTSTK,JSWSTEEL,0.0,XX,736.0,739.8,729.65,737.05,737.05,2084,20695.99,21443400,145800,03-MAY-2023,,25-05-2023,741.95,21297600
FUTSTK,JUBLFOOD,0.0,XX,462.0,467.8,457.05,459.1,459.1,3139,18157.42,15482500,-376250,03-MAY-2023,,25-05-2023,462.4,15858750
FUTSTK,KOTAKBANK,0.0,XX,1920.05,1939.55,1919.6,1936.05,1936.05,11816,91232.16,28119600,-700400,03-MAY-2023,,25-05-2023,1928.7,28820000
FUTSTK,L&TFH,0.0,XX,92.85,94.35,92.85,93.3,93.3,1324,11053.42,71052888,-803160,03-MAY-2023,,25-05-2023,93.15,71856048
FUTSTK,LALPATHLAB,0.0,XX,1923.7,1945.0,1911.2,1927.9,1927.9,791,3814.11,661000,37000,03-MAY-2023,,25-05-2023,1929.55,624000
FUTSTK,LAURUSLABS,0.0,XX,312.25,323.9,311.4,322.0,322.0,5358,18749.65,14667400,17600,03-MAY-2023,,25-05-2023,311.8,14649800
FUTSTK,LICHSGFIN,0.0,XX,355.9,360.55,355.5,357.8,357.8,1718,12325.46,14974000,-634000,03-MAY-2023,,25-05-2023,357.4,15608000
FUTSTK,LT,0.0,XX,2395.0,2397.7,2362.85,2371.0,2371.0,4846,34543.31,8770800,-133500,03-MAY-2023,,25-05-2023,2394.65,8904300
FUTSTK,LTIM,0.0,XX,4550.0,4570.1,4480.1,4514.9,4514.9,2980,20200.15,1467450,-19650,03-MAY-2023,,25-05-2023,4576.9,1487100
