INSTRUMENT,SYMBOL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,_c15,EXPIRY_DT,CLOSE_prev,OPEN_INT_prev
FUTSTK,CONCOR,0.0,XX,621.95,628.0,619.8,625.85,625.85,1963,12256.73,8507000,-246000,03-MAY-2023,,25-05-2023,623.15,8753000
FUTSTK,COROMANDEL,0.0,XX,945.0,956.5,942.4,948.65,948.65,491,3266.26,1131900,53900,03-MAY-2023,,25-05-2023,954.1,1078000
FUTSTK,CROMPTON,0.0,XX,259.85,263.9,258.3,259.15,259.15,2497,9786.04,13398000,390000,03-MAY-2023,,25-05-2023,260.25,13008000
FUTSTK,CUB,0.0,XX,142.8,144.7,142.15,143.2,143.2,1924,13825.79,17120000,-115000,03-MAY-2023,,25-05-2023,143.5,17235000
FUTSTK,CUMMINSIND,0.0,XX,1618.0,1624.75,1590.05,1593.15,1593.15,2535,24414.74,2527800,72000,03-MAY-2023,,25-05-2023,1604.1,2455800
FUTSTK,DABUR,0.0,XX,538.95,545.0,538.6,541.1,541.1,3206,21699.23,13070000,846250,03-MAY-2023,,25-05-2023,538.7,12223750
FUTSTK,DALBHARAT,0.0,XX,2004.45,2022.05,2002.55,2014.85,2014.85,692,6968.85,1757000,-16000,03-MAY-2023,,25-05-2023,2007.65,1773000
FUTSTK,DEEPAKNTR,0.0,XX,1893.0,1946.65,1885.95,1940.85,1940.85,3317,15981.66,1623000,138250,03-MAY-2023,,25-05-2023,1901.5,1484750
FUTSTK,DELTACORP,0.0,XX,209.1,215.45,209.1,213.2,213.2,1371,8171.43,15593200,383600,03-MAY-2023,,25-05-2023,210.35,15209600
FUTSTK,DIVISLAB,0.0,XX,3242.9,3288.8,3237.5,3278.1,3278.1,2472,12131.09,2824500,2400,03-MAY-2023,,25-05-2023,3259.45,2822100
FUTSTK,DIXON,0.0,XX,2909.1,2945.0,2901.0,2924.95,2924.95,1042,3808.15,800500,-1500,03-MAY-2023,,25-05-2023,2927.35,802000
FUTSTK,DLF,0.0,XX,424.15,435.45,423.05,429.45,429.45,7567,53832.31,36506250,-125400,03-MAY-2023,,25-05-2023,426.35,36631650
