INSTRUMENT,SYMBOL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,_c15,EXPIRY_DT,CLOSE_prev,OPEN_INT_prev
FUTSTK,DRREDDY,0.0,XX,4986.85,4986.85,4942.05,4969.35,4969.35,1341,8318.94,2521875,-15500,03-MAY-2023,,25-05-2023,4968.6,2537375
FUTSTK,EICHERMOT,0.0,XX,3355.95,3371.1,3330.1,3358.4,3358.4,2471,14507.52,3210025,-88200,03-MAY-2023,,25-05-2023,3366.6,3298225
FUTSTK,ESCORTS,0.0,XX,1994.3,2002.2,1982.0,1992.95,1992.95,1536,8408.24,1516350,105875,03-MAY-2023,,25-05-2023,1995.4,1410475
FUTSTK,EXIDEIND,0.0,XX,192.25,194.4,191.7,193.7,193.7,1287,8947.59,19015200,104400,03-MAY-2023,,25-05-2023,193.5,18910800
FUTSTK,FEDERALBNK,0.0,XX,135.55,137.9,135.55,137.3,137.3,3355,22978.59,56705000,-800000,03-MAY-2023,,25-05-2023,136.35,57505000
FUTSTK,GAIL,0.0,XX,108.75,109.45,108.0,108.55,108.55,1008,10021.05,58916850,-247050,03-MAY-2023,,25-05-2023,109.0,59163900
FUTSTK,GLENMARK,0.0,XX,544.6,548.65,540.0,545.15,545.15,1683,13260.26,6394500,292900,03-MAY-2023,,25-05-2023,547.9,6101600
FUTSTK,GMRINFRA,0.0,XX,45.95,47.15,45.95,46.55,46.55,1678,17633.0,123457500,-2655000,03-MAY-2023,,25-05-2023,46.2,126112500
FUTSTK,GNFC,0.0,XX,596.0,609.0,595.65,605.15,605.15,1923,15073.21,8109400,110500,03-MAY-2023,,25-05-2023,601.3,7998900
FUTSTK,GODREJCP,0.0,XX,904.45,962.75,904.45,945.45,945.45,3974,37683.05,8915000,3000,03-MAY-2023,,25-05-2023,928.95,8912000
FUTSTK,GODREJPROP,0.0,XX,1332.35,1361.0,1286.8,1336.15,1336.15,13763,78382.6,4722600,-56100,03-MAY-2023,,25-05-2023,1335.2,4778700
FUTSTK,GRANULES,0.0,XX,301.55,303.5,300.2,302.0,302.0,528,3187.34,6752000,56000,03-MAY-2023,,25-05-2023,303.0,6696000
FUTSTK,GRASIM,0.0,XX,1740.0,1746.0,1733.0,1742.8,1742.8,1645,13594.08,12044100,-202825,03-MAY-2023,,25-05-2023,1749.55,12246925
FUTSTK,GUJGASLTD,0.0,XX,471.1,479.15,470.2,473.95,473.95,1947,11583.2,5592500,-348750,03-MAY-2023,,25-05-2023,472.9,5941250
FUTSTK,HAL,0.0,XX,2945.3,3048.75,2934.2,3024.9,3024.9,8182,73981.67,2682000,-83700,03-MAY-2023,,25-05-2023,2950.5,2765700
FUTSTK,HAVELLS,0.0,XX,1231.7,1258.5,1218.15,1249.15,1249.15,11374,70642.21,5997000,208000,03-MAY-2023,,25-05-2023,1233.6,5789000
FUTSTK,HCLTECH,0.0,XX,1065.95,1068.5,1061.1,1065.35,1065.35,1939,14455.0,9814700,-149100,03-MAY-2023,,25-05-2023,1073.95,9963800
FUTSTK,HDFC,0.0,XX,2782.7,2795.5,2773.35,2789.7,2789.7,3968,33155.18,8273700,112800,03-MAY-2023,,25-05-2023,2786.75,8160900
FUTSTK,HDFCAMC,0.0,XX,1825.4,1827.1,1792.85,1796.95,1796.95,1943,10558.8,2304000,-48600,03-MAY-2023,,25-05-2023,1818.6,2352600
FUTSTK,HDFCBANK,0.0,XX,1674.85,1686.4,1670.7,1684.75,1684.75,16294,150478.45,66110000,623150,03-MAY-2023,,25-05-2023,1678.3,65486850
FUTSTK,HDFCLIFE,0.0,XX,543.05,548.9,536.9,539.85,539.85,2756,16417.84,16178800,122100,03-MAY-2023,,25-05-2023,545.9,16056700
FUTSTK,HEROMOTOCO,0.0,XX,2500.05,2534.5,2493.2,2519.1,2519.1,5548,41937.37,4152300,476400,03-MAY-2023,,25-05-2023,2511.6,3675900
FUTSTK,HINDALCO,0.0,XX,442.35,443.45,435.55,442.35,442.35,5963,36762.0,22015000,891800,03-MAY-2023,,25-05-2023,448.65,21123200
FUTSTK,HINDCOPPER,0.0,XX,104.95,106.45,103.6,105.85,105.85,1259,6346.39,18676800,-144000,03-MAY-2023,,25-05-2023,104.95,18820800
FUTSTK,HINDPETRO,0.0,XX,255.1,261.45,255.1,257.55,257.55,2344,16335.28,16062300,140400,03-MAY-2023,,25-05-2023,254.5,15921900
FUTSTK,HINDUNILVR,0.0,XX,2469.0,2505.7,2466.15,2497.35,2497.35,6226,46555.1,9942600,-250200,03-MAY-2023,,25-05-2023,2467.85,10192800
FUTSTK,IBULHSGFIN,0.0,XX,112.95,118.0,111.85,114.7,114.7,2887,13324.34,49312000,1096000,03-MAY-2023,,25-05-2023,113.8,48216000
FUTSTK,ICICIBANK,0.0,XX,924.95,927.35,917.4,926.2,926.2,18985,122624.56,71505700,-1124200,03-MAY-2023,,25-05-2023,928.2,72629900
FUTSTK,ICICIGI,0.0,XX,1088.9,1094.5,1084.15,1092.8,1092.8,1056,4890.81,5160350,-22950,03-MAY-2023,,25-05-2023,1093.25,5183300
FUTSTK,ICICIPRULI,0.0,XX,438.7,441.75,432.3,433.2,433.2,957,6261.94,12916500,108000,03-MAY-2023,,25-05-2023,441.65,12808500
FUTSTK,IDEA,0.0,XX,6.9,7.15,6.9,6.95,6.95,853,4192.68,485450000,-1750000,03-MAY-2023,,25-05-2023,6.95,487200000
FUTSTK,IDFC,0.0,XX,90.8,92.5,90.7,91.8,91.8,1313,12062.7,167250000,2270000,03-MAY-2023,,25-05-2023,91.3,164980000
FUTSTK,IDFCFIRSTB,0.0,XX,63.9,65.4,63.7,64.6,64.6,4716,45779.77,212340000,4485000,03-MAY-2023,,25-05-2023,64.3,207855000
FUTSTK,IEX,0.0,XX,155.05,158.6,154.8,156.35,156.35,2078,12232.74,40290000,-277500,03-MAY-2023,,25-05-2023,155.75,40567500
FUTSTK,IGL,0.0,XX,491.8,497.45,491.8,493.55,493.55,665,4527.1,5710375,-46750,03-MAY-2023,,25-05-2023,495.15,5757125
