INSTRUMENT,SYMBOL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,_c15,EXPIRY_DT,CLOSE_prev,OPEN_INT_prev,CHANGE_IN_LTP,CHANGE_IN_OI
FUTSTK,GAIL,0.0,XX,108.75,109.45,108.0,108.55,108.55,1008,10021.05,58916850,-247050,03-MAY-2023,,25-05-2023,109.0,59163900,-0.412841236919438,-0.41756882152799263
FUTSTK,GLENMARK,0.0,XX,544.6,548.65,540.0,545.15,545.15,1683,13260.26,6394500,292900,03-MAY-2023,,25-05-2023,547.9,6101600,-0.5019163857386055,4.800380228136882
FUTSTK,GMRINFRA,0.0,XX,45.95,47.15,45.95,46.55,46.55,1678,17633.0,123457500,-2655000,03-MAY-2023,,25-05-2023,46.2,126112500,0.7575724422971314,-2.1052631578947367
FUTSTK,GNFC,0.0,XX,596.0,609.0,595.65,605.15,605.15,1923,15073.21,8109400,110500,03-MAY-2023,,25-05-2023,601.3,7998900,0.6402854979633462,1.381439947992849
FUTSTK,GODREJCP,0.0,XX,904.45,962.75,904.45,945.45,945.45,3974,37683.05,8915000,3000,03-MAY-2023,,25-05-2023,928.95,8912000,1.7761989109401843,0.033662477558348294
FUTSTK,GODREJPROP,0.0,XX,1332.35,1361.0,1286.8,1336.15,1336.15,13763,78382.6,4722600,-56100,03-MAY-2023,,25-05-2023,1335.2,4778700,0.07115587754131072,-1.1739594450373532
FUTSTK,GRANULES,0.0,XX,301.55,303.5,300.2,302.0,302.0,528,3187.34,6752000,56000,03-MAY-2023,,25-05-2023,303.0,6696000,-0.33003300330033003,0.8363201911589008
FUTSTK,GRASIM,0.0,XX,1740.0,1746.0,1733.0,1742.8,1742.8,1645,13594.08,12044100,-202825,03-MAY-2023,,25-05-2023,1749.55,12246925,-0.3858134841310343,-1.6561300081449015
FUTSTK,GUJGASLTD,0.0,XX,471.1,479.15,470.2,473.95,473.95,1947,11583.2,5592500,-348750,03-MAY-2023,,25-05-2023,472.9,5941250,0.22203813154980062,-5.8699768567220705
FUTSTK,HAL,0.0,XX,2945.3,3048.75,2934.2,3024.9,3024.9,8182,73981.67,2682000,-83700,03-MAY-2023,,25-05-2023,2950.5,2765700,2.5216031975512627,-3.026358607224211
FUTSTK,HAVELLS,0.0,XX,1231.7,1258.5,1218.15,1249.15,1249.15,11374,70642.21,5997000,208000,03-MAY-2023,,25-05-2023,1233.6,5789000,1.260542245126019,3.593021247192952
FUTSTK,HCLTECH,0.0,XX,1065.95,1068.5,1061.1,1065.35,1065.35,1939,14455.0,9814700,-149100,03-MAY-2023,,25-05-2023,1073.95,9963800,-0.8007799224305899,-1.4964170296473234
FUTSTK,HDFC,0.0,XX,2782.7,2795.5,2773.35,2789.7,2789.7,3968,33155.18,8273700,112800,03-MAY-2023,,25-05-2023,2786.75,8160900,0.10585632625370053,1.3822004925927287
FUTSTK,HDFCAMC,0.0,XX,1825.4,1827.1,1792.85,1796.95,1796.95,1943,10558.8,2304000,-48600,03-MAY-2023,,25-05-2023,1818.6,2352600,-1.1904775489226016,-2.065799540933435
FUTSTK,HDFCBANK,0.0,XX,1674.85,1686.4,1670.7,1684.75,1684.75,16294,150478.45,66110000,623150,03-MAY-2023,,25-05-2023,1678.3,65486850,0.38431454353937994,0.9515650852041287
FUTSTK,HDFCLIFE,0.0,XX,543.05,548.9,536.9,539.85,539.85,2756,16417.84,16178800,122100,03-MAY-2023,,25-05-2023,545.9,16056700,-1.1082704813246294,0.7604302253887785
FUTSTK,HEROMOTOCO,0.0,XX,2500.05,2534.5,2493.2,2519.1,2519.1,5548,41937.37,4152300,476400,03-MAY-2023,,25-05-2023,2511.6,3675900,0.2986144174384599,12.960091406186239
FUTSTK,HINDALCO,0.0,XX,442.35,443.45,435.55,442.35,442.35,5963,36762.0,22015000,891800,03-MAY-2023,,25-05-2023,448.65,21123200,-1.4042099361807474,4.221898197242842
FUTSTK,HINDCOPPER,0.0,XX,104.95,106.45,103.6,105.85,105.85,1259,6346.39,18676800,-144000,03-MAY-2023,,25-05-2023,104.95,18820800,0.8575526937106599,-0.7651109410864576
FUTSTK,HINDPETRO,0.0,XX,255.1,261.45,255.1,257.55,257.55,2344,16335.28,16062300,140400,03-MAY-2023,,25-05-2023,254.5,15921900,1.198423494290275,0.8818043072748855
